wikidata_name,wikidata_id,potential_drop,has_infobox,start_date,end_date,location_name,location_latlong,result,belligerent_sideA,belligerent_sideB,means_drones,means_airtoair,means_cruisemissiles,means_aerialbombing,means_closeairsupport,means_groundtroops,means_paramilitary,casualties_sideA,casualties_sideB,casualties_civilian,casualties_us,notes
Kosovo War,Q190029,0,1,1998-02-01,1999-06-11,Yugoslavia; Albania,NA,"Kumanovo Treaty (Yugoslave forces pull out of Kosovo; United Nations Resolution 1244; Return of Albanian refugees; Expulision of over half of the Serb and other non-Albanian civilians; KLA veterans join the UÇPMB, starting the Preševo insurgency; Bulldozer Resolutioin in 2000)",KLA; Republic of Kosova; NATO (Belgium; Canada; Denmark; France; Germany; Italy; Luxembourg; Netherlands; Norway; Portugal; Spain; Turkey; United Kingdom; United States),Yugoslavia,1,1,1,1,0,1,1,3633,2488,NA,2,"No date listed for start date, first of the month coded; Albania as a location is listed as an Albanian and OSCE claim; Territorial Changes: no legal changes to Yugoslav borders according to Resolution 1244, but effective political and economic separation of Kosovo from Yugoslavia due to being placed under UN administration and subsequent declaration of independence; Republic of Kosovo only involved in the conflict unitil 1999; Apache attack helicopters and AC-130 Spectre gunships were brought to the front lines but never used after two Apaches crashed during training in the Albanian mountains; NATO engaged in air-to-air combat, unclear if it is specifically U.S.; Paramilitary coded because Clinton authorized a CIA operation to look into methods to destabilise the Yugoslac government without training KLA troops; Side B casualties (part of) listed as 1,008 - 1,200 median included in sum coded; civilian casualties list different sources and combine missing and killed, 13,548 civilians and fighters dead overall (Albanians, Serbs, Bosniaks, Roma); U.S. casualties non-combat"
Al-Qaeda insurgency in Yemen,Q286436,0,1,1998-12-30,2011-03-31,Yemen,NA,"Escalation into crisis and civil war (Yemeni Crisis begins on late January 2011; On 31 March 2011, AQAP declared the Islamic Empirate in Yemen)",Republic of Yemen; United States; Houthis; Iran,al-Qaeda in the Arabian Peninsula; al-Shabaab,1,0,1,0,0,0,1,386,1099,NA,17,
War in Afghanistan,Q182865,0,1,2001-10-07,NA,Afghanistan,NA,NA,Northern Alliance; United States; United Kingdom; Canada; Australia; Germany; Islamic Republic of Afghanistan; ISAF; Resolute Support ,Islamic Emirate of Afghanistan; al-Qaeda; 055 Brigade; IMU; TNSM; ETIM; Taliban (Islamic Jihad Union; Haqqani network); Taliban splinter groups (Fidai Mahaz; IEHCA loyal to Muhammad Rasul); ISIL-KP (IMU),1,0,0,1,1,1,1,69699,73900,38340,2420,war since 2001; Taliban casualties estimated as 67000-72000 and mean is included in side_B casulaty count
Operation Enduring Freedom,Q326668,0,1,2001-10-07,2004-12-28,Afghanistan; Philippines; Somalia; Georgia; Kyrgyzstan; Sahara,NA,Operation ended; Conflict ongoing,Afghanistan; Afghanistan Northern Alliance; Armenia; Australia; Azerbaijan; Belarus; Canada; China; Czech Republic; Denmark; Djibouti; Ethiopia; France; Georgia; Germany; India; Indonesia; ISAF; Italy; Japan; Kazakhstan; Kenya; Kyrgyzstan; Malaysia; NATO; New Zealand; Norway; Pakistan; Philippines; Poland; Portugal; Russia; Seychelles; Singapore; Somalia; South Korea; Spain; Sweden; Tajikistan; Thailand; Turkey; Turkmenistan; Uganda; Ukraine; United Arab Emirates; United Kingdom; United States; Uzbekistan,Taliban; al-Qaeda;  Abu Sayyaf;  Jemaah Islamiyah;  Moro Islamic Liberation Front;  Al-Shabaab;  Hizbul Islam;  Al-Qaeda Organization in the Islamic Maghreb,1,0,1,1,1,1,1,48641,72641,NA,2438,belligerents are belligerents from rows 462-464; sideB casualty count includes mean of estimated 260-365 killed in Somalia 
International Security Assistance Force,Q155654,0,1,2001-12-20,2014-12-28,Afghanistan,NA,NA,NATO; Afghanistan,Taliban; Al-Qaeda,1,0,1,1,1,1,1,NA,NA,NA,NA,"Alligiance: NATO; Allies: Afghanistan; Opponents: Taliban, Al-Qaeda; Established by UNSC Resolution 1386, main purpose was to train the Afghan National Security Forces and assist Afghanistan in rebuilding key government institutions, but was. also engaged in the War in Afghanistan against the Taliaban insurgency"
Battle of Takur Ghar,Q4872492,0,1,2002-03-04,2002-03-05,"Takur Ghar, Afghanistan",33°20′30″N 69°12′58″E,Coalition pyrrhic victory,United States; Australia,Taliban; Al-Qaeda,1,0,0,1,1,0,1,7,25,NA,7,Airstrikes / aerial bombing is vague
Operation Southern Focus,Q2739563,0,1,2002-06-01,2003-03-17,Southern Iraq,NA,Successful reduction of Iraqi air defense systems,United States,Republic of Iraq; Belarus; Ukraine,1,0,0,1,0,0,0,0,NA,NA,NA,Iraq received support from Belarus and Ukraine; start date is approximated
Operation Enduring Freedom – Horn of Africa,Q1195810,0,1,2002-10-07,NA,Horn of Africa; Gulf of Aden; Guardafui Channel,NA,Ongoing,Belgium; Canada; Denmark; France; Germany; Greece; Italy; Netherlands; Portugal; Spain; Turkey; United Kingdom; United States; Djibouti; Somalia; Ethiopia; Sudan; Seychelles; Kenya; Australia; Azerbaijan; China; Colombia; European Union; India; Indonesia; Japan; Kazakhstan; Kyrgyzstan; Malaysia; New Zealand; Pakistan; Russia; Singapore; South Korea; Tajikistan; Thailand; Turkmenistan; Uganda; Ukraine; Uzbekistan,Islamic State of Iraq and the Levant; al-Qaeda; Harakat al-Shabaab Mujahedeen; al-Itihaad al-Islamiya; Islamic Courts Union; Hizbul Islam; Alliance for the Re-liberation of Somalia; Ras Kamboni Brigades; Jabhatul Islamiya; Pirates,1,0,1,1,0,1,1,2,1299,41,2,side B casualty count is mean of 1230-1367 estimate; civilian count is mean of 22-37 estimate; casualty counts given in article are specific to US operations only not the entire mission
Iraqi insurgency,Q926905,0,1,2003-01-01,2011-01-01,Iraq,NA,Further insurgency continued after the war officially ended in 2011 and escalated into the Iraqi Civil War (2014-2017),United States; United Kingdom; MNF-I; New Iraqi Government,Sunni insurgents; Al-Qaeda in Iraq; Islamic State of Iraq; Islamic Army of Iraq; Ansar al-Sunnah,1,0,1,1,1,1,1,NA,NA,NA,NA,start and end date approximated to first of the year 
Iraqi insurgency,Q926905,0,1,2003-01-01,2011-01-01,Iraq,NA,Further insurgency continued after the war officially ended in 2011 and escalated into the Iraqi Civil War (2014-2017),United States; United Kingdom; MNF-I; New Iraqi Government,Shia insurgents; Mahdi Army; Special Groups; Kata'ib Hezbollah; Asa'ib Ahl al-Haq; Badr Brigades,1,0,1,1,1,1,1,NA,NA,NA,NA,start and end date approximated to first of the year 
Siege of Sadr City,Q3486016,0,1,2004-04-04,2008-05-11,"Sadr City, Iraq",NA,Ceasfire agreement signed; Iraqi government forces allowed to enter and patrol Sadr City,United States; Iraqi security forces; United Kingdom,Mahdi Army; Pre-occupation Iraqi armed forces,1,0,0,1,1,1,1,325,3050,NA,NA,Casulaties for side_A estimated between 300-350 and mean was coded; casulaties for side_B estimated between 1800-2500 and mean was coded; I think aerial bombing was used here but not 100% sure
drone attacks in Pakistan,Q1260080,0,1,2004-06-18,2018-01-24,"Federal Tribal Areas, Pakistan",NA,"Most recent drone strike launched in January 2018; 81 high-level insurgent leaders and thousand of low-level insurgents killed; Deaths of Akhtar Mansour and Fazlullah; Destruction of numberous insurgent camps and safe havens; 5 drone strikes in 2017, followed by one in 2018 and none in 2019; Substantial reduction in insurgent activity by 2017",United States,Taliban; Tehrik-i-Taliban Pakistan; TNSM; Haqqani network; al-Qaeda; Lashkar-e-Islam; Foreign Mujahideen; Uzbek Islamic Movement; Turkistan Islamic Party; Islamic State affiliates,1,0,0,0,0,0,0,9,2750,562,9,"United Kingdom played a supporting role in Side A; drones opperated by the USAF and the CIA; Side A casualties are U.S. itelligence agents, including CIA officers; Side B casualties 2,000-3,5000 killed median coded; Civilian casualties 158-965 between different estimates median coded; drone attacks have been refered to as war crimes"
Insurgency in Khyber Pakhtunkhwa,Q179275,0,1,2004-03-16,NA,"Khyber Pakhtunkhwa province, Pakistan",NA,"Ongoing (Heavy insurgent losses and substantial reduction in insurgent activity (27,004 total deaths at peak years in 2007-2011 compared to only 3,586 in 2015-2019); Ongoing (low level) insurgency; Tribal areas merged into Pakistan, tribal law abolished and writ of constitution established as of 2018; Drone strikes were conducted by the United States; Jundallah, Tehreek-e-Khilafat, Jamaat-ul-Ahrar and the Islamic Movement of Uzbekistan join ISIL; Jamaat-ul-Ahrar rejoins the TPP)",Pakistan; United States; United Kingdom,Taliban-aligned groups (Tehrik-i-Taliban Pakistan; al-Qaeda; Lashkar-e-Jhangvi; Lashkar-e-Islam; Jundallah; Islamic Movement of Uzbekistan; Jamaat-ul-Ahrar; Tehreek-e-Nafaz-e-Shariat-e-Mohammadi; Turkistan Islamic Party); ISIL-aligned groups (Jundallah; Islamic Movement of Uzbekistan; Tehreek-e-Khilafat; Jamaat-ul-Ahrar),1,0,0,1,0,0,1,4371,28984,"22,1000",15,"Location includes the former Federally Administered Tribal Areas; Several different accounts for civilian casualties based on source and location, the estimate listed is the Cost of War (Oct 2001 - Jul 2016) civilians killed all over Pakistan"
Second Battle of Fallujah,Q1330136,0,1,2004-11-07,2004-12-23,"Fallujah, Iraq",NA,Coalition victory,United States; Iraq; United Kingdom,Al-Qaeda in Iraq; Islamic Army of Iraq; Ansar al-Sunna; 1920 Revolution Brigade; Ba'athists; Army of Mohammed; Army of the Mujahedeen; Secret Islamic Army of Iraq,1,0,0,1,0,1,1,108,1350,621,95,Iraqi casualties estimated 8-11 and mean is included in side_A casualty total; side_B estimated at 1200-1500 and mean is included in casualty total; civilian casualties estimated 581-670
Damadola airstrike,Q3893040,0,0,2006-01-13,2006-01-13,"Damadola, Bajaur, Pakistan",NA,NA,United States,al-Qaeda,1,0,0,0,0,0,0,0,0,18,0,"""infobox"" just says that it is part of the INsurgency in Khyber Pakhtunkhwa"
Helmand province campaign,Q5709231,0,1,2006-06-04,NA,"Helmand province, Afghanistan",NA,NA,ISAF (United Kingdom; United States; Denmark; Canada; Georgia; Netherlands; Estonia; France; Albania); Islamic Republic of Afghanistan,Taliban; Quetta Shura,1,0,0,1,1,1,0,800,7000,NA,126,"Article states that ""British, Dutch, French, and US aricraft, helicopters and unmanned drones provided aerial reconnaissance and fire support"" so coded for drones and CAS but there is no specific account of these actions being specifically American"
Chenagai airstrike,Q5091023,0,1,2006-10-30,2006-10-31,"Chenagai, Bajaur, Pakistan",NA,NA,United States,al-Qaeda,1,0,0,0,0,0,0,NA,NA,NA,NA,"Missiles were fired at a madrassa with the intended target of Ayman al-Zaeahiri, al-Qaeda's secon-in-command, however an eyewitness stated that the madrassa was filled with local students; U.S. initually denied involvement in the attack, but was later found responsible for the attacks; CIA is listed as perpetrator but they were not on the ground so I did not code for paramilitary; 70-82 deaths"
Battle of Ras Kamboni,Q4872168,0,1,2007-01-05,2007-01-12,"Ras Kambodi, Somalia",NA,TFG/Somali victory-Islamist defeat,Transitional Federal Government; Ethiopia; United States,Islamic Courts Union; Pro-Islamist militias; Foreign fighters; al-Qaeda,1,0,0,1,0,0,1,NA,NA,NA,NA,"Casualties total: around 60 dead, 100 wounded in airstrokes"
American airstrikes in Somalia,Q55603824,0,1,2007-01-07,NA,Somalia,NA,NA,United States,Al-Shabaab; Mujahideen; Hizbul Islam; Islamic State in Somalia; Islamic Courts Union,1,0,1,1,1,0,1,2,1291,40,2,"Status: Ongoing (Special Forces raids and advising of Somali partner forces; Hundres of Al-Shabaab militants killed); Belligerents side B, Hizbul Islam (until 2009-10, 2012-14), Islamic Courts Union (until 2006-12-27); side B casualties 1,217-1,364 killed median coded; 27-53 civilians killed median coded; 22 Galmudug soldiers mistakenly killed; Interesting case of use of AC-130 attacking terrorist group that had been tracked by the drone"
Operation Enduring Freedom – Trans Sahara,Q2602154,0,1,2007-02-06,NA,Sahara Desert and North Africa,NA,Ongoing,Algeria; Morocco; Mauritania; Tunisia; Burkina Faso; Chad; Mali; Niger; Nigeria; Senegal; United States,al-Qaeda in the Islamic Maghreb; Ansar Dine; Jama'at Nasr al-Islam wal Muslimin; Boko Haram; MOJWA; ISIL ,1,0,0,0,0,1,0,NA,NA,NA,NA,
Operation Marne Torch,Q2026187,0,1,2007-06-16,2007-08-14,"Babil Province, Iraq",NA,U.S. military raids successful; disruption of insurgent supply lines; holding operations delayed ,United States; New Iraqi Army,Islamic State of Iraq; other Iraqi insurgents,1,0,0,1,1,1,0,16,88,NA,13,
Pakistan–United States skirmishes,Q7125993,0,1,2008-06-10,2012-07-04,"Durand Line, Western Pakistan, Afghanistan-Pakistan Border",NA,NA,United States; Islamic Republic of Afghanistan,Pakistan,1,0,0,1,1,1,1,0,42,NA,0,
Battle of Wanat,Q2890373,0,1,2008-07-13,2008-07-13,"Nuristan Province, Afghanistan",NA,Indecisive (Tactical Coalition victory; Strategic Taliban victory),United States; Afghanistan,Taliban,1,0,0,1,1,1,0,9,43,NA,9,Side B casualties 21-65 median coded
Miramshah airstrike,Q12327344,0,1,2008-09-12,2008-09-12,"North Waziristan, Pakistan",NA,NA,United States,Taliban,1,0,0,0,0,0,0,NA,NA,5,NA,"Type: UAV attack; Target: Taliban fighters; Excecuted by: United States; Casualties: 12 killed (3 women, 2 children, and 7 Taliban militants)"
Baghar China airstrike,Q4841775,0,1,2008-09-17,2008-09-17,"South Waziristan, Pakistan",NA,NA,United States,Taliban,1,0,0,0,0,0,0,NA,NA,NA,NA,U.S. Air Force drone missiles targeted Taliban fighters and hit a militant training camp killing five
War in Somalia (2009–),Q1052332,0,1,2009-01-31,NA,Somalia; North-Eastern Kenya,NA,NA,Somalia; AMISOM; United States; United Kingdom; European Union ,Al-Qaeda; Al-Shabaab; Al-Hijra; foreign mujahideen; Hizbul Islam; Eritrea; ISIL; Islamic State in Somalia,1,0,0,1,0,0,1,2903,8021,NA,3,conflict is ongoing; 2 US contractors killed in addition but I wasn't sure if I should include this or not under US casualties; AMISOM casualty estimate is 1100-3000 and mean is included in side_A casualties
Shrawangai Nazarkhel airstrike,Q7503440,0,0,2009-02-12,2009-02-12,"Makeen, Waziristan, Pakistan",NA,NA,United States,Taliban; Al Qaeda,1,0,0,0,0,0,0,0,30,NA,0,article is just a stub and doesn't contain much information
Operation Oqab,Q2026247,0,1,2009-07-18,2009-07-28,"Kunduz Province, Afghanistan",NA,Temporary forced displacement of the Taliban forces,Afghanistan; Germany; United States; Belgium,Taliban insurgents; Islamic Jihad Union,1,0,0,0,1,0,0,26,20,NA,0,"Support from Germany, US, and Belgium came from ISAF forces "
Operation Moshtarak,Q843588,0,1,2010-02-13,2010-12-07,"Marja, Helmand Province, Afghanistan",31°31′N 64°07′E,ISAF victory after prolonged fighting,United States; United Kingdom; France; Estonia; Denmark; Canada; Afghanistan,Taliban; Quetta Shura; Al-Qaeda,1,0,0,1,1,1,1,61,120,28,45,sideB casualty only for the first 5 days
Datta Khel airstrike,Q5227745,0,1,2011-03-17,2011-03-17,"Datta Khel, North Waziristan, Pakistan",33°09′N 70°26′E,NA,United States,Hafiz Gul Bahadur; Taliban,1,0,0,0,0,0,0,NA,NA,NA,NA,Target: Taliban fighters (faction led by Hafiz Gul Bahadur); Executed by CIA; casualties 44 killed (suspected to just be village elders)
Operation Unified Protector,Q3269455,0,1,2011-03-23,2011-10-31,Libya,NA,NATO victory; No-fly zone established over Libya; Sanctions imposed on Gaddafi regime; Overthrow of Gaddafi regime,Belgium; Bulgaria; Canada; Denmark; France; Greece; Italy; Jordan; Netherlands; Norway; Qatar; Romania; Spain; Sweden; Turkey; United Arab Emirates; United Kingdom; United States,Libyan Arab Jamahiriya,1,0,0,1,0,0,0,NA,NA,NA,NA,side_A = NATO-led coalition
Shabwah Governorate offensive,Q23022688,0,1,2014-03-17,2016-12-03,"Habban District and Azzan, Shabwah Governorate, Yemen",NA,NA,Yemen; United Arab Emirates; United States,AQAP,1,0,0,1,0,0,0,30,35,NA,0,start date is approximated to the first day of 2014 because no other date is given 
military intervention against ISIL,Q17507684,0,1,2014-06-13,NA,Iraq; Syria; Libya; Nigeri; Afghanistan; the North Caucasus; Southeast Asia,NA,Ongoing; ISIL militarily defeated in Iraq and Syria,CJTF-OIR (United States; Australia; Canada; Belgium; Denmark; Sweden; France; Germany; Italy; Norway; Turkey; Netherlands; Jordan; Morocco; Spain; United Kingdom); Iran; Russia; Saudi Arabia; Bahrain; United Arab Emirates; Syria; Iraq; Shi'a militias;  Asa'ib Ahl al-Haq; Badr Organization; Kata'ib Hezbollah; Promised Day Brigade; Iraqi Kurdistan; Iraqi Turkmen Front; Nineveh Plain Protection Units; Syrian Democratic Forces; Vetted Syrian Opposition; Turkish-backed Free Syrian Army; Lebanon; Hezbollah; Lebanese Communist Party; Government of National Accord; Misrata Brigades; Misrata Military Council; Egypt; Libya; Nigeria; Cameroon; Chad; Niger; Benin; United States; Algeria; Islamic Military Alliance,Islamic State of Iraq and the Levant (Boko Haram; Wilayat Barqa; Wilayat Sinai; Wilayat Khorasan; Abu Sayyaf; Abnaa ul-Calipha); al-Qaeda (Tahrir al-Sham; al-Nusra Front; Khorasan group; Jund al-Aqsa; Turkistan Islamic Party),1,0,1,1,1,1,1,55578,85000,53782,71,"Belligerent Coalitions and places of intervention are neatly listed in the infobox; civilian casualties listed plus ""thousands of civilians killed by ISIL outside of Iraq and Syria)"
American-led intervention in Iraq (2014–present),Q18159629,0,1,2014-06-15,2021-12-09,Iraq,NA,"Ongoing (Tens of thousands of ISIL fighters killed; 14,616 U.S. and allied airstriked on ISIL positions in Iraq; Heavy damage dealt to ISIL forces, military defeat in Iraq; Baghdad declares victory on 9 December 2017; Multinational humanitarian and arminf of ground forces efforts; Ongoing U.S. -led Coalition advising and traing Iraqi and Kurdish ground forces; U.S. maintains limited military presence in Iraq)","CJTF-OIR (United States, Australia, Belgium, Canada, Denmark, France, Germany, Italy, Jordan, Morocco, Netherlands, New Zealand, United Kingdom, Turkey); Iraq; Kurdish Region; Assyrian national guard",Islamic State of Iraq and the Levant,1,0,1,1,1,1,1,79,70000,NA,69,"estimated 6,000 plus civlians killed by Coatlition airstrikes in Iraq, 28,000  plus civilians killed by ISIL in Iraq"
Operation Inherent Resolve,Q18357664,0,1,2014-06-15,NA,Iraq; Syria; Libya,NA,NA,United States; United Kingdom,Islamic State of Iraq and the Levant; al-Qaeda,1,0,0,1,1,1,1,74,80301,12004,74,"civilian casualty count includes mean of estimated 8214-13125 killed by coalition airstrikes, plus 1335 killed by coalition operations. tens of thousands of civilians have also been killed by ISIL but a precise figure is not given so I couldn't include those numbers "
Operation Indian Ocean,Q18128999,0,1,2014-08-16,2015-05-23,Somalia,NA,NA,Federal Government of Somalia; AMISOM; United States,Al-Shabaab,1,0,0,1,0,0,1,NA,NA,NA,NA,
Battle of Suq al Ghazi,Q18148976,0,1,2014-09-15,2014-09-15,"Suq al Ghazi, Baghdad, Iraq",NA,US/Iraqi victory,United States; United Kingdom; France; Iraq,Islamic State of Iraq and the Levant; Local Sunni Militias,1,0,0,0,0,0,0,5,23,NA,0,
American-led intervention in Syria,Q18121212,0,1,2014-09-22,NA,Syria,NA,"Ongoing operations (19,786 U.S. and allied aistrikes, over 16,000 hitting ISIL positions; Thousands of targets destroyed, thousands of militants killed; U.S.-backed rebel training program 2014-2016; U.S. and allies supplying weapons and advisers to the Kurdish-led Syrian Democratic Forces; ISIL loses most of its territory in Syria by December 2017; ISIL suffers military defreat and loses almost all of its remaining territory in March 2019; U.S.-led occasional strikes against the Syrian government; U.S. Marines and Special Operation forces deployed in Syria (about 2,000, as of early Dec 2017); Planned withdrawal of most U.S. troops in late 2020; Death of Abu Bakr Al-Bagdadhi ISIL leader in October 2019)","CJTF-OIR (United States, France, United Kingdom, Saudi Arabia, United Arab Emirates, Italy, Germany, Denmark, Jordan); Syrian Democratic Forces; Revolutionary Commando Army; Iraqi Kurdistan",Islamic State of Iraq and the Levant; al-Qaeda; Turkistan Islamic Party,1,0,1,1,1,1,1,28,9762,9733,25,"3 sided conflict, side 3 inicludes Syrian Arab Republic and Iran supported by Russia and Kata'ib Hezbollah; casualties side B: 9,570 from second side and 192 fron third side; civilian casualties: 3,833 killed by Coalition airsrikes in Syria, 5,900 killed by ISIL in Syria"
Operation Freedom's Sentinel,Q21296923,0,1,2015-01-01,2021-08-30,Afghanistan,NA,NA,Resolute Support Mission; United States of America; Afghanistan; Germany; United Kingdom; Georgia; Romania; Turkey; Czech Republic; Poland; Australia; Portugal; Ukraine; North Macedonia; Sweden; Spain; Slovenia; Slovakia; Norway; New Zealand; Netherlands; Montenegro; Mongolia; Luxembourg; Latvia; Italy; Iceland; Hungary; Greece; Finland; Estonia; Denmark; Croatia; Bulgaria; Bosnia-Herzegovina; Belgium; Azerbaijan; Austria; Armenia; Albania,Taliban; al-Qaeda; Other Anti-Afghan government forces; Islamic State of Iraq and the Levant,1,0,0,0,0,1,0,NA,NA,NA,NA,
Yemeni Civil War (2015–present),Q19686631,0,1,2015-03-19,NA,Yemen; Saudi Arabia,NA,NA,Cabinet of Yemen; Saudi Arabia; United Arab Emirates; Senegal; Sudan; Morocco; Qatar; United States; France; Academi security contractors; Southern Movement,Al Qaeda; Ansar al-Sharia - Yemen,1,0,0,0,0,0,1,NA,1000,13100,1,"no result or end-date because conflict is ongoing; side_A casualty estimate includes mean of 1000-3000 for Saudi Arabia, mean of 108-130 for UAE, and mean of 1000-4000 for Sudan; location listed as Southern Saudi Arabia "
Saudi Arabian-led intervention in Yemen,Q19682450,0,1,2015-03-26,NA,Yemen,NA,NA,Saudi Arabia; United Arab Emirates; Sudan; Bahrain; Kuwait; Qatar; Egypt; Jordan; Morocco; Senegal; Academi; Saudi-paid Yemeni mercenaries; United States,Revolutionary Committee/Supreme Political Council,1,0,0,0,0,0,0,3132,11000,13407,0,"included in side_A casualty estimate: Saudi Arabia mean of 1000-3000, UAE mean of 108-130; Sudan part of conflict 2015-2019; Qatar part of conflict 2015-2019; Morocco part of conflict 2015-2019 "
Russian military support in the Syrian Civil War,Q21032720,0,1,2015-09-30,NA,Syria,NA,NA,Army of Conquest; Tahrir al-Sham; Syrian Opposition; Syrian Democratic Forces; United States,Islamic State of Iraq and the Levant,1,0,0,1,0,0,0,NA,NA,NA,NA,three-sided conflict 
American intervention in Libya,Q48731890,0,1,2015-11-13,NA,Libya,NA,NA,United States; Libya; United Kingdom,ISIL in Libya,1,0,0,1,1,0,1,1,1000,NA,1,"Status: ISIL presence minimized. Thousands of ISIL targets destroyed, Continued civil war"
Nangarhar Offensive (2016),Q23039091,0,1,2016-02-14,2016-03-06,"Achin District, Nangarhar Province, Afghanistan; Shinwar District, Nangarhar Province, Afghanistan; Kot District, Nangarhar Province, Afghanistan",34.1167°N 70.2167°E,Afghan victory (ANA managed to recapture 22 villages and pushed ISIL 8 kilometers back; ISIL loses almost all of its territory in Afghanistan but returned later),Islamic Republic of Afghanistan; RS (United States),Islamic State of Iraq and the Levant,1,0,0,0,0,0,0,NA,200,NA,NA,Dozens of civilians killed
Abyan conflict,Q32634886,0,1,2016-02-22,2018-08-19,"Abyan Governorate, Yemen",NA,"Ongoing (AQAP is expelled from all of Abyan in early 2016; AQAP militants return to Abyan in mid 2016; As of late February 2017, AQAP remains in control of Lawdar, Shuqraq, Al Mahfid, and other small areas in Abyan; AQAP expelled from Wadea in September 2017, and from Al-Mafhad in March 2018; As of March 14, 2018, AQAP only controls or contests 20% of Abyan; On March 31, 2018, government officials announced that the security situation and the front has stabilized)",Yemen; United States; United Arab Emirates; Southern Movement; Sudan; Southern Transitional Council,Al-Qaeda; Islamic State of Iraq and the Levant - Yemen Province; Local militias,1,0,0,1,0,1,0,244,235,21,NA,"United States, United Arab Emirates, Southern Movement, and Sudan played supporting roles; three sides in this conflict, third side consists of Revolutionary Committee/Supreme Political Council, no direct U.S. action against them"
Mosul offensive (2016),Q23540783,0,1,2016-03-24,2016-09-22,"Southwest Erbil Governorate; Nineveh Governorate, Iraq",35.8003°N 43.2897°E,"Significant gains for the Iraqi government; start of the Battle of Mosul (Pro-government forces capture Qayyarah Airfield West, Qayyarah, and Al-Shirqat)",Iraq; Iraqi Kurdistan; CJTF-OIR (United States; United Kingdom; France; Canada; Australia),Islamic State (ISIL/ISIS),1,0,0,1,1,1,1,83,1399,783,1,"Side A casualties, 83 claimed by counties (coded) ISIL claims 6,630 overall casualties; Side B casualties 1,300 militants killed (by June 2016), 99 deserters executed; Civilian casualties were executed; CAS assumed because troops were supported by ""coalition warplanes""and US provided ""air support and limited ground forces"""
Battle of Al Mukalla (2016),Q23935847,0,1,2016-04-24,2016-04-25,"Mukalla, Hadramaut, Yemen",14°32′6″N 49°7′24.6″E,Decisive coalition victory,Hadrami Elite Forces; United Arab Emirates; Hadi-led government; Saudi Arabia; United States,AQAP,1,0,0,0,0,1,0,27,NA,14,NA,"United States cited with limited involvement; side A casualty claims: 89-91 killed, 100-800 killed (ground offensive, Saudi coalition claims), 10 killed (AQAP claims during ground offensive)"
Hadramaut Insurgency,Q30682487,0,1,2016-04-26,2018-04-29,"Hadramaut Governorate, Yemen",NA,Ongoing (Large scale insurgency in Hadramaut by AQAP and ISIL; Massive Hadrami elite forces detaining operations launched against AQAP; Majority of AQAP senior leadership in Hadramaut caputred by Hadrami Elite),Hadrami Elite Force; United Arab Emirates; Yemen; United States; Saudi Arabia,AQAP,1,0,0,1,0,0,0,143,57,12,NA,"Third side involved, but all U.S. action was directed against AQAP; Side C: Islamic State of Iraq and the Levant - Yemen Province, Casualties 186 killed"
Manbij offensive,Q23701421,0,1,2016-05-31,2016-08-27,"Aleppo Governorate, Syria",NA,"Major SDF victory (SDF captures ~105 villages and farms by 14 June; SDF captures Manbij city by 12 August; SDF secures defensive line in the northern countryside by 21 August, and continues offensive in the southern countryside until 27 August)",Syrian Democratic Forces; International Freedom Battalion; YBŞ; YJÊ; CJTF-OIR (United States; United Kingdom; France; Germany),Islamic State of Iraq and the Levant,1,0,0,1,0,1,1,NA,NA,444,NA,"CJTF-OIR played a supportive role, the UK involvement was alleged and Germany denied participation; Side A casualties 315 killed (SOHR claim), 1,650 killed (ISIL claim), 264 killed (SDF claim), 700-1,000 killed (other claims); Side B casualties 1,026 killed (SOHR claim), 400 killed (ISIL claim), 4,180 illed (SDF claim); 2,000 civilians abducted"
2017 al-Jinah airstrike,Q28983702,0,1,2017-03-16,2017-03-16,"al Jinah, Syria",36.1079°N 36.7870°E,NA,United States,al-Qaeda,1,0,0,1,0,0,0,NA,NA,NA,NA,"Airsrike executed by United States on rebel-held village of al-Jinah near Aleppo, Syria; US military claimed target was al-Qaeda militants but local residents and officials claimed it was a moscue filled with worhipers; UN Commission of Inquiry on Syria concluded that US forces faled to take all feasible precautions to avoid or minimize civilian death, in violation of international humanitarian law; casualties range 38-49 "
Mohmand Valley raid,Q60770016,0,1,2017-04-26,2017-04-27,"Mohmand Valley, Achin District, Nangarhar Province, Afghanistan",34°04′24.01″N 70°37′52.37″E,"US/Afghan victory (Emir of ISIL-KP, killed)",United States; Afghanistan,ISIL-KP,1,0,0,1,1,0,1,2,36,NA,2,"Aistrikes conducted by AC-130 gunships, F-16 fighter jets, AH-64 Apache attack helicopters and drones; 2 AMerican deaths possibly the result of friendly fire (team members later denied this assertion)"
November 2017 Somalia airstrike,Q60755056,0,1,2017-11-21,2017-11-21,"Hiran, Somalia",NA,NA,United States,Al-Shabaab,1,0,0,1,0,0,0,0,100,NA,0,100+ militants killed per US and Somalia 
Battle of Khusham,Q48150708,0,1,2018-02-07,2018-02-08,"Khasham, Deir ez-Zor Governorate, Syria",35°20′10″N 40°18′34″E,Decisive US and SDF victory,United States; Syrian Democratic Forces,Syrian government; Russia; Liwa Fatemiyoun; Liwa Zainebiyoun,1,0,0,1,1,1,1,0,NA,NA,0,"side B casualties 55 killed (Syrian claim), 100 plus killed (u.S. claim), 68 killed (SOHR claim); several versions listed for this engagement (U.S., Syrian government, Der Spiegel and SOHR, Unofficial Russian sources)"
